Origin,Destination,URL,Route,Start Date,End Date,Distance (km)
Bordeaux (FR),Amsterdam (NL),https://movacar.com/mietwagen/Bordeaux (FR)/Amsterdam (NL)/,"1195 km, ca. 11h 57min",2024-04-09,2024-04-16,"1,300"
Bordeaux (FR),Amsterdam (NL),https://movacar.com/mietwagen/Bordeaux (FR)/Amsterdam (NL)/,"1195 km, ca. 11h 57min",2024-04-09,2024-04-12,All
Bordeaux (FR),Nantes (FR),https://movacar.com/mietwagen/Bordeaux (FR)/Nantes (FR)/,"353 km, ca. 3h 31min",2024-04-05,2024-04-18,500
Bordeaux (FR),Nantes (FR),https://movacar.com/mietwagen/Bordeaux (FR)/Nantes (FR)/,"353 km, ca. 3h 31min",2024-04-05,2024-04-12,All
Bordeaux (FR),Milan (IT),https://movacar.com/mietwagen/Bordeaux (FR)/Milan (IT)/,"1002 km, ca. 10h 1min",2024-04-02,2024-04-09,"1,200"
Bordeaux (FR),Milan (IT),https://movacar.com/mietwagen/Bordeaux (FR)/Milan (IT)/,"1002 km, ca. 10h 1min",2024-04-02,2024-04-05,All
Bordeaux (FR),Rotterdam (NL),https://movacar.com/mietwagen/Bordeaux (FR)/Rotterdam (NL)/,"1130 km, ca. 11h 18min",2024-05-10,2024-05-10,All
Bordeaux (FR),Albrandswaard,https://movacar.com/mietwagen/Bordeaux (FR)/Albrandswaard/,"1118 km, ca. 11h 10min",2024-05-10,2024-05-13,"1,300"
Bordeaux (FR),Albrandswaard,https://movacar.com/mietwagen/Bordeaux (FR)/Albrandswaard/,"1118 km, ca. 11h 10min",2024-05-10,2024-05-10,All
Bordeaux (FR),Lyon (FR),https://movacar.com/mietwagen/Bordeaux (FR)/Lyon (FR)/,"569 km, ca. 5h 41min",2024-04-09,2024-04-17,700
Bordeaux (FR),Lyon (FR),https://movacar.com/mietwagen/Bordeaux (FR)/Lyon (FR)/,"569 km, ca. 5h 41min",2024-04-09,2024-04-12,All
Bordeaux (FR),Paris (FR),https://movacar.com/mietwagen/Bordeaux (FR)/Paris (FR)/,"647 km, ca. 6h 28min",2024-04-05,2024-04-17,800
Bordeaux (FR),Paris (FR),https://movacar.com/mietwagen/Bordeaux (FR)/Paris (FR)/,"647 km, ca. 6h 28min",2024-04-05,2024-04-12,All
Bordeaux (FR),"Aach, Hegau","https://movacar.com/mietwagen/Bordeaux (FR)/Aach, Hegau/","1037 km, ca. 10h 22min",2024-04-09,2024-04-13,"1,200"
Bordeaux (FR),"Aach, Hegau","https://movacar.com/mietwagen/Bordeaux (FR)/Aach, Hegau/","1037 km, ca. 10h 22min",2024-04-09,2024-04-09,All
Stockholm (SE),Lehrte,https://movacar.com/mietwagen/Stockholm (SE)/Lehrte/,"1199 km, ca. 11h 59min",2024-04-12,2024-04-16,"1,400"
